,X1,X2,X3,Y2,Z1,X1X2,X1X3,X2X3,LinearPrediction_Y2,PolyPrediction_Y2,LassoPrediction_Y2,RidgePrediction_Y2,ElasticNetPrediction_Y2
23,100,8,75,9.23,27,800,7500,600,8.395358064644427,9.224514529528122,9.10987479308938,9.113302205173673,9.019699064457107
24,100,10,30,6.96,27,1000,3000,300,6.324138030372166,6.959445722781609,6.837618892410818,6.8064038355619525,6.827827800589471
25,100,10,45,7.02,29,1000,4500,450,7.149290871047523,7.072664427202497,6.966784971501342,6.98719860506457,6.919327490239488
26,100,10,60,7.39,31,1000,6000,600,7.974443711722879,6.971206687086877,7.756905004507557,7.776965144323086,7.7034663398958685
27,100,10,75,9.39,32,1000,7500,750,8.799596552398235,9.394403599300702,9.489166373909654,9.49368211156537,9.399310938612143
28,100,12,30,7.7,31,1200,3000,360,6.963781519728387,7.70093878840801,7.6717415137468405,7.662291645545221,7.626584967898234
29,100,12,45,8.11,31,1200,4500,540,7.710466026536273,8.111212900000126,7.702744391811475,7.754849513776458,7.657700316574769
30,100,12,60,8.56,32,1200,6000,720,8.457150533344159,8.554860133621176,8.309894582916872,8.36481526408953,8.306998643643071
31,100,12,75,9.67,33,1200,7500,900,9.203835040152043,9.66797308530461,9.758416274794328,9.815945086835764,9.773932556457824
32,150,6,30,7.07,32,900,4500,180,5.441515053350477,11.959916823357915,6.909593532340609,6.72133065094922,6.857665111443134
33,150,6,45,7.08,33,900,6750,270,6.405587896053312,7.083581259142036,6.896049252115736,6.828552428830206,6.847008776813254
34,150,6,60,6.82,32,900,9000,360,7.3696607387561475,6.827232268273136,7.492689089893471,7.491548872475894,7.492976318559487
35,150,6,75,9.26,36,900,11250,450,8.333733581458983,9.25784112555614,8.99912673598553,9.022927534707339,9.02437930537564
36,150,8,30,6.12,35,1200,4500,240,6.085308022326728,6.122686721177004,6.795523601049871,6.708894247336139,6.802510492395243
37,150,8,45,7.12,33,1200,6750,360,6.970912531162092,7.11635403862131,6.87648724485455,6.862342938641886,6.874604443360182
38,150,8,60,7.15,32,1200,9000,480,7.856517039997456,7.145735315463597,7.595809661000782,7.592541660745653,7.613982031102858
39,150,8,75,9.21,38,1200,11250,600,8.74212154883282,9.197749075599702,9.272273758562877,9.244334096668734,9.254050511497805
40,150,10,30,6.99,32,1500,4500,300,6.729100991302981,6.985930755202233,7.099881015267806,7.0729501433676925,7.124866872422031
41,150,10,45,7.19,33,1500,6750,450,7.5362371662708725,7.190498966436124,7.2051633958588,7.216132631185324,7.221388826220984
42,150,10,60,7.33,33,1500,9000,600,8.343373341238767,7.333395588242482,7.906464245752791,7.893692837550159,7.947129338009983
43,150,10,75,9.44,33,1500,11250,750,9.15050951620666,9.44717468821166,9.522288676305447,9.472934726692277,9.52930152783424
44,150,12,30,7.87,34,1800,4500,360,7.372893960279232,7.865035109241788,7.920435870133847,7.919793168172869,7.910526802091308
45,150,12,45,7.76,35,1800,6750,540,8.101561801379653,7.763045462801372,7.96349220969597,7.981665188528602,7.955189023627303
46,150,12,60,8.61,38,1800,9000,720,8.830229642480074,8.609359077285106,8.476536143143877,8.457230113878094,8.530432140312605
47,150,12,75,9.77,38,1800,11250,900,9.558897483580495,9.772321736781876,9.754521018341606,9.723393609382827,9.843795949547705
48,200,6,30,6.99,33,1200,6000,180,5.838179055041232,17.966544128020203,6.851370979959896,6.676772849867384,6.652878552797322
49,200,6,45,6.97,34,1200,9000,270,6.784235232036603,6.966983754938909,6.7261063282562255,6.682305033040668,6.621150631134606
50,200,6,60,6.83,34,1200,12000,360,7.730291409031975,6.83167616906924,7.1457609854155715,7.152834125242929,7.172641438909228
51,200,6,75,9.14,32,1200,15000,450,8.676347586027347,18.62748557730795,8.45830428879636,8.44056344506476,8.538106458262343
52,200,8,30,6.26,38,1600,6000,240,6.486121503637514,6.26864876798011,6.566519945530123,6.557260728681568,6.54032573772687
53,200,8,45,7.23,39,1600,9000,360,7.353709346765413,7.224645211192026,6.642845541333841,6.694140514212148,6.652974292902396
54,200,8,60,7.32,37,1600,12000,480,8.221297189893313,7.318693507391643,7.268000165423494,7.314668025224274,7.346544087934456
55,200,8,75,9.32,42,1600,15000,600,9.088885033021214,14.810031500213725,8.804293284720183,8.808530240254122,8.856348529724832
56,200,10,30,6.97,41,2000,6000,300,7.134063952233795,6.963896098624744,6.908852053663672,6.9550792560972665,6.9554840183006315
57,200,10,45,7.23,36,2000,9000,450,7.923183461494224,7.2306846625122745,7.131976782865957,7.186706283138774,7.160479931027959
58,200,10,60,7.75,38,2000,12000,600,8.712302970754653,5.185726437653855,7.829128113774109,7.849713188237216,7.889879368293144
59,200,10,75,9.53,37,2000,15000,750,9.50142248001508,9.536694316804486,9.35612888661927,9.36123477290199,9.37275304948566
60,200,12,30,8.08,39,2400,6000,360,7.782006400830077,8.083139191246872,8.01472931574813,8.01872246070913,8.010757603834152
61,200,12,45,8.95,44,2400,9000,540,8.492657576223033,10.374535631077222,8.312094167729965,8.295573670077266,8.23495659128427
62,200,12,60,8.86,43,2400,12000,720,9.20330875161599,8.86247877924309,8.916230511458165,8.864898045421754,8.8597135328694
63,200,12,75,10.13,38,2400,15000,900,9.913959927008948,10.12360586823327,10.151820854929518,10.158159642966915,10.094366484388411
